ID Year Sex Age Mass BL TL Phi RhoZ FitnessTot
CN07-024 2007 Female A 35.6264566514991 0.115 61.6666666666667 0 0 0
CN07-025 2007 Female A 31.7429746910765 0.104 56.5 0 0 0
CN07-026 2007 Female J 31.25 0.1055 53.5 1 3 4
CN07-026 2008 Female A 39.3016960564692 0.1165 62.25 0 0 0
CN07-027 2007 Female J 17 0.094 44 0 0 0
CN07-028 2007 Female J 21 0.096 48 0 0 0
CN07-029 2007 Female J 30 0.104 52.3333333333333 0 0 0
CN07-030 2007 Male J 27 0.102 48 0 0 0
CN07-031 2007 Female A 34.6693904387846 0.109666666666667 53.3333333333333 0 0 0
CN07-032 2007 Female J 13 0.075 31 0 0 0
CN07-033 2007 Male A 45.6112835158238 0.116333333333333 60.3333333333333 0 0 0
CN07-035 2007 Female J 28.5 0.10075 50.75 0 0 0
CN07-036 2007 Female J 22.6666666666667 0.0953333333333333 48 1 5 6
CN07-036 2009 Female A 44.496163705999 0.1215 62.25 0 0 0
CN07-036 2008 Female A 37.0966482305781 0.1176 58.8 1 8 9
CN07-037 2007 Female J 17 0.085 47 0 0 0
CN07-038 2007 Male J 17 0.082 44 0 0 0
CN07-039 2007 Female J 22 0.089 45 0 0 0
CN07-040 2007 Female J 15 0.084 42 0 0 0
CN07-041 2007 Male J 23.5 0.088 50 0 0 0
CN07-043 2007 Female A 37.2632701613255 0.115 62 0 0 0
CN07-044 2007 Female J 20 0.086 46 0 0 0
CN07-046 2007 Female A 41.2632701613255 0.113 67 0 0 0
CN07-047 2007 Female J 31 0.1085 56.5 0 0 0
CN07-048 2007 Female J 23 0.087 44.5 0 0 0
CN07-050 2007 Male J 28.5 0.0995 50.5 1 4 5
CN07-050 2008 Male A 42.6648472079987 0.122 58 0 0 0
CN07-051 2007 Female J 26.3333333333333 0.099 52.6666666666667 1 0 1
CN07-051 2008 Female A 36.6969192630256 0.116 60 0 0 0
CN07-052 2007 Male J 18 0.086 47 0 0 0
CN07-053 2007 Male J 17 0.088 46 0 0 0
CN07-054 2007 Male A 44.2632701613255 0.123 68 0 0 0
CN07-055 2007 Male J 36.3333333333333 0.107 51.3333333333333 0 0 0
CN07-057 2007 Female J 28.6 0.1016 52.6 1 0 1
CN07-057 2008 Female A 41.6327751529717 0.115 58 0 0 0
CN07-059 2007 Male A 38.2491568432853 0.119 56 0 0 0
CN07-060 2007 Female J 26 0.103 49 0 0 0
CN07-062 2007 Female J 31.6666666666667 0.104666666666667 49.3333333333333 0 0 0
CN07-065 2007 Male J 28 0.1 53 0 0 0
CN07-067 2007 Female J 27.6666666666667 0.101333333333333 49 0 0 0
CN07-068 2007 Female J 18 0.084 42 0 0 0
CN07-069 2007 Male J 18 0.088 46 0 0 0
CN07-071 2007 Male J 36 0.103 54 0 0 0
CN07-072 2008 Male A 42.0335710173056 0.122333333333333 63 0 0 0
CN07-072 2007 Male J 24 0.0965 49 1 1 2
CN07-073 2007 Male J 29 0.091 54 0 0 0
CN07-075 2007 Male J 25 0.094 52 0 0 0
CN07-077 2007 Male J 30 0.101333333333333 53.3333333333333 0 0 0
CN07-078 2007 Male J 28 0.099 50 0 0 0
CN07-079 2007 Male J 17 NA NA 0 0 0
CN07-080 2007 Female J 28.6666666666667 0.101333333333333 45.6666666666667 1 0 1
CN07-080 2008 Female A 37.1696530645543 0.116 51 0 0 0
CN07-081 2007 Male J 25 0.096 52 0 0 0
CN07-082 2008 Male A 37.8004985657263 0.1165 60.75 0 0 0
CN07-082 2007 Male J 24 0.097 47.5 1 1 2
CN07-083 2007 Male J 27 0.093 54 0 0 0
CN07-084 2008 Male A 39.3281963266946 0.118333333333333 56 0 0 0
CN07-084 2007 Male J 33.75 0.111 51.75 1 1 2
CN07-086 2008 Female A 34.1994080787356 0.11575 56.25 0 0 0
CN07-086 2007 Female J 29.5 0.1055 51 1 1 2
CN07-087 2007 Female J 35.5 0.1035 54.5 0 0 0
CN07-088 2007 Male J 29.5 0.096 51 0 0 0
CN07-089 2007 Female J 18 0.088 42 0 0 0
CN07-091 2007 Male J 18 0.084 48 0 0 0
CN07-093 2009 Male A 46.771123255584 0.1162 60.4 0 0 0
CN07-093 2008 Male A 41.4222176901715 0.115666666666667 60 1 3 4
CN07-093 2007 Male J 30.5 0.0995 52 1 2 3
CN07-094 2007 Female J 20.5 0.091 42.5 0 0 0
CN07-095 2007 Male J 30 0.1 53.5 0 0 0
CN07-096 2010 Male A 55.7261425778293 0.125 59.5 0 0 0
CN07-096 2008 Male A 44.4593194789086 0.120777777777778 62.2222222222222 1 8 9
CN07-096 2007 Male J 37.5 0.1105 57 1 3 4
CN07-096 2009 Male A 51.2810629963728 0.12725 60.375 1 0 1
CN07-097 2007 Male J 27 0.104666666666667 52 0 0 0
CN07-098 2007 Male J 22.5 0.0905 44.5 0 0 0
CN07-099 2007 Male J 25.5 0.1005 45 0 0 0
CN07-100 2007 Male J 27 0.102 55 0 0 0
CN07-101 2007 Male J 24 0.102 46 0 0 0
CN07-102 2008 Female A 32.6969192630256 0.11 48 0 0 0
CN07-102 2007 Female J 25.5 0.0975 48 1 0 1
CN07-103 2007 Male J 16 0.084 39 0 0 0
CN07-105 2007 Male J 30.5 0.101 55 0 0 0
CN07-106 2007 Male J 21 0.0935 49.5 0 0 0
CN07-107 2007 Male J 25.5 0.102 52.5 0 0 0
CN07-108 2007 Female J 20 0.0925 42.5 1 3 4
CN07-108 2008 Female A 31.2654842859334 0.110666666666667 53.6666666666667 0 0 0
CN07-109 2007 Female J 22.5 0.0985 52.5 0 0 0
CN07-110 2007 Female A 42.6193843028858 0.113 63 0 0 0
CN07-112 2007 Male J 26 0.098 54 0 0 0
CN07-113 2009 Female A 43.2744723873133 0.117833333333333 58.4166666666667 1 1 2
CN07-113 2010 Female A 45.7295413119295 0.1218 63.4 0 0 0
CN07-113 2007 Female J 30 0.10225 50 1 1 2
CN07-113 2008 Female A 37.2483302948862 0.1155 57.6666666666667 1 4 5
CN07-114 2008 Female A 39.6489805537004 0.115 59.75 1 3 4
CN07-114 2009 Female A 47.7678193891858 0.1165 63 1 2 3
CN07-114 2007 Female J 31 0.107333333333333 53 1 2 3
CN07-114 2010 Female A 49.0843279738856 0.124 66.5 0 0 0
CN07-115 2008 Male A 40.838993598819 0.118 55.7777777777778 0 0 0
CN07-115 2007 Male J 31.3333333333333 0.107333333333333 52 1 0 1
CN07-116 2007 Female J 21.5 0.0925 39.5 0 0 0
CN07-117 2007 Male J 31 0.112 50 0 0 0
CN07-119 2007 Female J 24 0.096 57 0 0 0
CN07-120 2007 Female J 30 0.108 48.5 0 0 0
CN07-121 2007 Female J 26 0.095 43 0 0 0
CN07-122 2007 Female J 23.5 0.0945 45.5 0 0 0
CN07-123 2008 Female A 29.5729419800229 0.112333333333333 53.6666666666667 0 0 0
CN07-123 2007 Female J 23 0.09 46 1 2 3
CN07-124 2008 Female A 36.391522332584 0.1128 54 0 0 0
CN07-124 2007 Female J 29.3333333333333 0.098 47.6666666666667 1 8 9
CN07-125 2009 Female A 40.2462715829514 0.1187 61.5 0 0 0
CN07-125 2007 Female J 26.5 0.102 52 1 6 7
CN07-125 2008 Female A 32.4161163764487 0.114714285714286 59.5714285714286 1 6 7
CN07-126 2007 Male J 27 0.099 49.5 0 0 0
CN07-127 2008 Female A 42.1696530645543 0.11 61 0 0 0
CN07-127 2007 Female J 26.6666666666667 0.102333333333333 49.3333333333333 1 0 1
CN07-128 2007 Male A 37.9128541121845 0.1175 39.5 0 0 0
CN07-130 2007 Male J 26.5 0.096 53.5 0 0 0
CN07-131 2008 Female A 30.8593686077814 0.112 56 0 0 0
CN07-131 2007 Female J 28 0.094 41 1 4 5
CN07-132 2007 Male J 26 0.09 46 0 0 0
CN07-133 2007 Male J 30 0.102 53 0 0 0
CN07-134 2007 Male J 19 0.097 42 0 0 0
CN07-135 2007 Male J 28 0.103 48 0 0 0
CN07-136 2007 Male J 24 0.092 45 0 0 0
CN07-137 2008 Male A 40.2092106481432 0.116 60.6666666666667 0 0 0
CN07-137 2007 Male J 32 0.102 54 1 7 8
CN07-138 2007 Male J 36 0.1025 49 0 0 0
CN07-140 2007 Male J 32 0.0985 44.5 0 0 0
CN07-141 2007 Female J 16 0.084 40 0 0 0
CN07-142 2007 Female J 24 0.099 48 0 0 0
